"title","url","classification"
"The Trap","https://api.nga.gov/iiif/05b2b18d-0da4-4526-9638-c6b68f2cf610/full/!200,200/0/default.jpg","Painting"
"The Martyrdom of Saint Gennaro","https://api.nga.gov/iiif/05d70ba8-5283-44eb-92df-b8e286cf4217/full/!200,200/0/default.jpg","Painting"
"Colonel Guy Johnson and Karonghyontye (Captain David Hill)","https://api.nga.gov/iiif/05cfefc7-30bb-42e0-b424-f4c416ba707d/full/!200,200/0/default.jpg","Painting"
"Madonna and Child","https://api.nga.gov/iiif/05e6ca89-e950-4ff7-8463-50f553ce2ad6/full/!200,200/0/default.jpg","Painting"
"Entrance to the Harbor, Le Havre","https://api.nga.gov/iiif/05d1b6ea-8357-4fe6-a2ca-2db4fff480c6/full/!200,200/0/default.jpg","Painting"
"Man of Science","https://api.nga.gov/iiif/05d1c574-7ed1-4ac2-8d62-da222189c847/full/!200,200/0/default.jpg","Painting"
"Alessandro Alberti with a Page","https://api.nga.gov/iiif/05e83cdc-8056-4c31-93f0-180a376e7161/full/!200,200/0/default.jpg","Painting"
"Boy Chief - Ojibbeway","https://api.nga.gov/iiif/0619c416-3dfc-4772-bed3-2c35e89b5fd6/full/!200,200/0/default.jpg","Painting"
"Lemons","https://api.nga.gov/iiif/06632adc-7f3d-4f3b-809e-b7fcdba8f691/full/!200,200/0/default.jpg","Painting"
"Mrs. Thomas Horne","https://api.nga.gov/iiif/0603c5d8-278e-45ed-84ee-d5d456b5052c/full/!200,200/0/default.jpg","Painting"
"The Colonel","https://api.nga.gov/iiif/05ec733e-4800-46bf-9a25-5e56c64224f8/full/!200,200/0/default.jpg","Painting"
"The Trial of Joan of Arc (Joan of Arc series: VI)","https://api.nga.gov/iiif/05f1edd6-d083-4e9f-a367-7aef9355791f/full/!200,200/0/default.jpg","Painting"
"Untitled","https://api.nga.gov/iiif/05f4182e-28c4-4022-8ac4-651f084e6093/full/!200,200/0/default.jpg","Painting"
"Fifth Station","https://api.nga.gov/iiif/2b44502c-8ba7-4ad5-932b-bbc14d8ce9bb/full/!200,200/0/default.jpg","Painting"
"A Sleeping Girl","https://api.nga.gov/iiif/0656127a-5b52-473c-9a77-f26e204144c1/full/!200,200/0/default.jpg","Painting"
"Pont de Palmiers and Tiger Shooting","https://api.nga.gov/iiif/0675ced3-e2f7-42a7-b39d-7b9db2e276b9/full/!200,200/0/default.jpg","Painting"
"Landscape, Pierrefitte","https://api.nga.gov/iiif/064df0ff-5ac9-497c-aeba-e8d33269d14a/full/!200,200/0/default.jpg","Painting"
"Lake George and the Village of Caldwell","https://api.nga.gov/iiif/069f7569-d0c6-472b-8d8e-d913e5674f2a/full/!200,200/0/default.jpg","Painting"
"Lady Caroline Howard","https://api.nga.gov/iiif/068873bf-6b25-4ff6-8314-17e4647f5cb5/full/!200,200/0/default.jpg","Painting"
"Girl on a Swing","https://api.nga.gov/iiif/0691e211-3b54-4e37-a409-96913a677792/full/!200,200/0/default.jpg","Painting"
"Chester Dale","https://api.nga.gov/iiif/06819cc4-a0a3-4f91-b70a-0a22122a96d9/full/!200,200/0/default.jpg","Painting"
"Falls of the Snake River","https://api.nga.gov/iiif/06960c31-3062-41c7-b6f5-5af31044ce96/full/!200,200/0/default.jpg","Painting"
"Salute to General Washington in New York Harbor","https://api.nga.gov/iiif/06ab70c1-9b14-4e34-b984-bb3cb4b52b65/full/!200,200/0/default.jpg","Painting"
"Organization","https://api.nga.gov/iiif/06d5b78c-8df2-41a5-8b36-9c273ed4f0f6/full/!200,200/0/default.jpg","Painting"
"Madonna and Child with Saints","https://api.nga.gov/iiif/06dce57d-a67c-40e4-9365-54d8720edc80/full/!200,200/0/default.jpg","Painting"
