,title,image_id,medium_display
82,Mills Hall,69c12ddc-3034-0ce2-ce1f-4535f8719ce7,"Etching, from a steel-faced brass plate, on ivory Japanese paper"
83,A Mansion at Prairie Avenue,c8927012-69bc-abf7-6abc-7a5bbb69dc0c,Oil on plywood
84,The Captive Slave (Ira Aldridge),5c3cbb0f-03e6-7d46-60b6-f612ed71b5d3,Oil on canvas
85,Equestrian and Four Figures,3afb386b-1dfd-2264-8646-6d5cbb6f6b38,Terracotta
86,Prayer-String Necklace,459295bf-0ef1-14a3-6de1-e40da8227777,"Wood, silver, copper, amber, silk, and carnelian"
87,Head Ornament,376a9864-6f57-34dd-d04f-3d6ee66fbf44,"Nylon and polypropylene hair, amber, coral, shell, silver, carnelian, and glass beads"
88,Figure 4,2c5b6afb-7ee8-e396-93b1-4cb4b63adec8,Encaustic and newspaper on canvas
89,Thanksgiving,297c4356-3905-3921-48be-ef080b8315cd,"Watercolor, gouache, and pen and brown and black inks, over graphite, with cut and pasted typewritten text elements, on three sheets of cream wove paper"
90,Anklets,040bd294-5c70-8245-22c6-46781b932f22,Silver and copper alloy
91,Night (Noc),37188e34-da29-79ee-52a0-41c991b204ce,Oil on metal and hardboard
92,"Saint Benedict, initial ‘O’, with border fragments from a Missal",31b756c5-5843-7a4e-dd4d-360bcfc547b4,"Opaque watercolor, gold leaf with punching, mordant gilding with touches of ruled graphite on pieced parchment"
93,"Untitled, from Portfolio from the School of the Art Institute of Chicago",6d99b5ec-3e16-d1b1-f843-3cf46bae3cd1,"Screenprint in black, over greenish blue, on white wove paper"
94,Frankie,e9c6b89a-aa96-7031-a6e6-0dc8d86ab109,Graphite on ivory wove paper
95,Lady II: Girl Wearing Bolero Jacket,fd26fe20-e8fd-d80a-c3e9-c07365b0db61,Graphite on ivory wove paper
96,Lady I: Tassel Dancer,450ed264-3ba8-e271-61f5-86ff3e06e601,Graphite on ivory wove paper
97,Peace Employee,9ab608b1-0f61-3c09-61bc-4428dfcd4a72,"Color etching and aquatint, printed twice from the same plate, on ivory wove paper"
98,The Ed Paschke Show,9f60ca9a-dd38-8e84-42b0-12ad40cee0d8,Color screenprint on cream wove paper
99,"Untitled, from Screen Prints 1970",d55945c7-fee2-cfad-85bd-8c3cf8845eb5,Color screenprint on off-white wove paper
100,"No Fumare, Por Favore",ed5a4c4c-b3b1-4edc-d396-f7c8453b8de8,"Vintage PHS Cologram, with light box"
101,Tudor,90520a80-03e1-2262-7278-063132907e89,Color lithograph on white wove paper
102,Hubert,aed06014-6574-e44c-7335-1b88084dd5d5,Color lithograph on white wove paper
103,NO,6c89d9fa-fcbe-3f71-f5e0-a0d73772103c,"Etching and aquatint, with colored pencil additions, on ivory wove paper"
104,Hot Fax,9d1e8a40-d5d7-c4e9-4bc5-d4dea8ab31e3,Oil on linen
105,Poderosa,9b9d9b66-89a1-02ad-9a5d-dfcc741197bc,Color lithograph on white wove paper
106,Lucky Cop,d60c545b-d10c-ffeb-9638-73ced6b5d088,"Black fiber-tipped pen and colored pencils, with pen and black ink and touches of graphite, on off-white wove paper"
107,B.T. Green,3fd88c70-077c-cdf6-7517-bdf57c8c1ef4,"Pen and black ink, black fiber-tipped pen, and colored pencils, with touches of graphite, on off-white wove paper"
108,B.T. Yellow,11d8369d-7619-de57-b721-7de82af6a2fd,"Black fiber-tipped pen, pen and black ink, and colored pencils, with touches of graphite, on off-white wove paper"
109,Untitled (Pareja),f93ec3b7-daa5-dd44-a7b0-feb690326238,"Pen and black ink, black and colored fiber-tipped pens, and colored pencils on off-white wove paper"
110,Caliente,72f0d7ee-878d-d9f9-4550-eb4417490e0d,Oil on canvas
111,Kontato,be85aecc-d0dc-9325-4893-3128bc559668,Color lithograph on white wove paper
112,"Oriental Theatre, Milwaukee, Wisconsin",acebe62e-e7d2-b1bf-49bc-dc0324b16dde,Chromogenic print
113,"Oriental Theatre, Milwaukee, Wisconsin",acebe62e-e7d2-b1bf-49bc-dc0324b16dde,Chromogenic print
114,"Our Lady of Sorrows Basilica, Chicago",99837c39-af9d-a080-63c0-b34268f41674,Chromogenic print
115,"Our Lady of Sorrows Basilica, Chicago",99837c39-af9d-a080-63c0-b34268f41674,Chromogenic print
116,"Notre Dame Church, Chicago",99ceb6af-1f61-9911-9bda-8d8ac1ac3db4,Chromogenic print
117,"Notre Dame Church, Chicago",99ceb6af-1f61-9911-9bda-8d8ac1ac3db4,Chromogenic print
118,"St. Nicolas Ukrainian Cathedral, Chicago",11834aed-2bf6-dc5c-4481-3436a1a2c0d4,Chromogenic print
119,"St. Nicolas Ukrainian Cathedral, Chicago",5d647f14-1c0d-2469-5241-c926d380baf8,Chromogenic print
120,Execo,030b93d5-97bc-9a3e-2da7-665021005a0f,Color lithograph on white wove paper
121,Bistro,02a1976b-bca0-79a0-95a7-7d4d497b5d99,Color lithograph on gray wove paper
122,Minnie,b4adaaf1-81ec-755d-a5df-15c85b63a86c,Oil on linen
123,Rosarita,df76b990-ab5d-f617-9125-928a7390506d,Hand-colored lithograph on white wove paper
124,Charlene,65d0798b-4fc7-ca22-6cd5-aae5e1a50be1,"Colored pencil, with blue and black ballpoint pen over graphite, on cream wove paper"
125,Tropicale,32b8e823-7cab-4004-a559-48f6e4412fbb,Graphite on white wove paper
126,Mid American,3c8a4360-27d8-bba2-a434-8b04dbe3f829,Oil on canvas
127,Open Karate,76ca2ad4-f89c-32ae-42ec-92cf4e66f943,Color screenprint on buff wove paper
128,Ben Hur,2c119e29-ee1b-a4a9-93ec-529d117c3828,Color screenprint on coated white wove paper
129,Gideon,5a4173d5-6c56-d083-758c-7ccd8225687f,Lithograph in black on greenish ivory wove paper
130,Sound of Silence,c6c52d16-1b0e-f182-f40c-55861eeb65f6,Color lithograph on white wove paper
131,Sound of Silence,56640cbb-dbf5-28a3-ed58-52a7e6401aaa,Color lithograph on white wove paper
132,Sound of Silence,4e8c4417-0b37-bc3e-7be6-fe9c21a92ab5,Color lithograph on white wove paper
133,Sound of Silence,389d0f17-15ef-1edc-17e7-b13872139d27,Color lithograph on white wove paper
134,Sound of Silence,7d728cff-3f0e-9f64-deac-01c365b3ce7d,Color lithograph on gray wove paper
